Type,Year,Qtr,Adoption,Order_type,Adopter,Adopted_child_sex,Adopted_child_age,Count
Application,2013,4,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2013,4,Adoption,Convention,Step parent,n/a,n/a,0
Application,2014,1,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2014,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2014,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2014,1,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2014,1,Adoption,Convention,Step parent,n/a,n/a,0
Application,2014,2,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2014,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2014,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2014,2,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2014,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2014,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2014,3,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2014,3,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2014,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2014,3,Adoption,Convention,Step parent,n/a,n/a,0
Application,2014,4,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2014,4,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2014,4,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2014,4,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2014,4,Adoption,Convention,Step parent,n/a,n/a,0
Application,2015,1,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2015,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2015,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2015,1,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2015,1,Adoption,Convention,Step parent,n/a,n/a,0
Application,2015,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2015,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2015,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2015,2,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2015,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2015,3,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2015,3,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2015,3,Adoption,Convention,Same sex couple,n/a,n/a,1
Application,2015,3,Adoption,Convention,Sole applicant,n/a,n/a,2
Application,2015,3,Adoption,Convention,Step parent,n/a,n/a,0
Application,2015,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2015,4,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2015,4,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2015,4,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2015,4,Adoption,Convention,Step parent,n/a,n/a,0
Application,2016,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2016,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2016,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2016,1,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2016,1,Adoption,Convention,Step parent,n/a,n/a,1
Application,2016,2,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2016,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2016,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2016,2,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2016,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2016,4,Adoption,Convention,M/F couple,n/a,n/a,6
Application,2016,4,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2016,4,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2016,4,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2016,4,Adoption,Convention,Step parent,n/a,n/a,1
Application,2017,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2017,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2017,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2017,1,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2017,1,Adoption,Convention,Step parent,n/a,n/a,0
Application,2017,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2017,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2017,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2017,2,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2017,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2017,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2017,3,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2017,3,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2017,3,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2017,3,Adoption,Convention,Step parent,n/a,n/a,0
Application,2011,1,Adoption,Foreign,M/F couple,n/a,n/a,23
Application,2011,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2011,1,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2011,1,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2011,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2011,2,Adoption,Foreign,M/F couple,n/a,n/a,14
Application,2011,2,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2011,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2011,2,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2011,2,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2011,3,Adoption,Foreign,M/F couple,n/a,n/a,15
Application,2011,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2011,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2011,3,Adoption,Foreign,Sole applicant,n/a,n/a,7
Application,2011,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2011,4,Adoption,Foreign,M/F couple,n/a,n/a,21
Application,2011,4,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2011,4,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2011,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2011,4,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2012,1,Adoption,Foreign,M/F couple,n/a,n/a,16
Application,2012,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2012,1,Adoption,Foreign,Same sex couple,n/a,n/a,1
Application,2012,1,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2012,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2012,2,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2012,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2012,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2012,2,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2012,2,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2012,3,Adoption,Foreign,M/F couple,n/a,n/a,12
Application,2012,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2012,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2012,3,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2012,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2012,4,Adoption,Foreign,M/F couple,n/a,n/a,10
Application,2012,4,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2012,4,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2012,4,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2012,4,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2013,1,Adoption,Foreign,M/F couple,n/a,n/a,18
Application,2013,1,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2013,1,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2013,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2013,1,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2013,2,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2013,2,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2013,2,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2013,2,Adoption,Foreign,Sole applicant,n/a,n/a,7
Application,2013,2,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2013,3,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2013,3,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2013,3,Adoption,Foreign,Same sex couple,n/a,n/a,0
Application,2013,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2013,3,Adoption,Foreign,Step parent,n/a,n/a,0
Application,2013,4,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2013,4,Adoption,Foreign,Other or not stated,n/a,n/a,0
Application,2013,4,Adoption,Foreign,Same sex couple,n/a,n/a,0
